Player Name,ESPN ID
CH Gayle,51880
Mandeep Singh,398506
TM Head,530011
KM Jadhav,290716
SR Watson,8180
Sachin Baby,432783
STR Binny,27223
S Aravind,290632
TS Mills,459257
YS Chahal,430246
A Choudhary,527299
DA Warner,219889
S Dhawan,28235
MC Henriques,5961
Yuvraj Singh,36084
DJ Hooda,497121
BCJ Cutting,230371
NV Ojha,32102
Bipul Sharma,35928
B Kumar,326016
A Nehra,31820
Rashid Khan,793463
PA Patel,32242
JC Buttler,308967
RG Sharma,34102
N Rana,604527
AT Rayudu,33141
KH Pandya,471342
KA Pollard,230559
HH Pandya,625371
TG Southee,232364
MJ McClenaghan,319439
JJ Bumrah,625383
AM Rahane,277916
MA Agarwal,398438
SPD Smith,267192
BA Stokes,311158
MS Dhoni,28081
MK Tiwary,35565
R Bhatia,26907
DL Chahar,447261
A Zampa,379504
AB Dinda,227712
Imran Tahir,40618
JJ Roy,298438
BB McCullum,37737
SK Raina,33335
AJ Finch,5334
KD Karthik,30045
DR Smith,20236
MS Gony,317293
P Kumar,30732
SB Jakati,29655
DS Kulkarni,277955
S Kaushik,917213
G Gambhir,28763
CA Lynn,326637
RV Uthappa,35582
MK Pandey,290630
YK Pathan,32498
SA Yadav,446507
CR Woakes,247235
PP Chawla,32966
Kuldeep Yadav,559235
SP Narine,230558
TA Boult,277912
HM Amla,43906
M Vohra,532856
WP Saha,279810
AR Patel,554691
GJ Maxwell,325026
DA Miller,321777
MP Stoinis,325012
Swapnil Singh,232292
MM Sharma,537119
Sandeep Sharma,438362
T Natarajan,802575
DT Christian,4864
RD Chahar,1064812
Vishnu Vinod,732293
P Negi,530773
Iqbal Abdulla,277237
B Stanlake,533042
AP Tare,333904
SW Billings,297628
KK Nair,398439
SV Samson,425943
RR Pant,931581
CH Morris,439952
CR Brathwaite,457249
PJ Cummins,489889
A Mishra,31730
S Nadeem,31872
Z Khan,30102
Basil Thampi,732291
Tejas Baroka,1082859
AS Rajpoot,591650
Harbhajan Singh,29264
SL Malinga,49758
VR Aaron,360911
AB de Villiers,44936
CJ Anderson,36189
F du Plessis,44828
RA Tripathi,446763
V Shankar,477021
Mustafizur Rahman,330902
I Sharma,236779
C de Grandhomme,55395
UT Yadav,376116
V Kohli,253802
S Badree,51433
Ishan Kishan,720471
RA Jadeja,234675
AJ Tye,459508
Ankit Sharma,422992
SN Thakur,475281
LH Ferguson,493773
SS Iyer,642519
EJG Morgan,24598
KC Cariappa,777537
MM Patel,18458
JD Unadkat,390484
AF Milne,450860
AD Mathews,49764
Mohammed Shami,481896
NM Coulter-Nile,261354
Mohammad Nabi,25913
BB Sran,537126
S Kaul,326017
J Yadav,447587
KS Williamson,277906
Mohammed Siraj,940973
SE Marsh,6683
Gurkeerat Singh,537124
JP Faulkner,270484
Shakib Al Hasan,56143
K Rabada,550215
MG Johnson,6033
Washington Sundar,719715
AD Nath,500360
SS Agarwal,1079668
NB Singh,853259
KV Sharma,30288
DM Bravo,277472
Ankit Soni,1083128
AR Bawne,327123
SP Jackson,237696
MJ Guptill,226492
Anureet Singh,376324
IK Pathan,32685
PJ Sangwan,279545
MN Samuels,52983
LMP Simmons,53116
R Tewatia,423838
MJ Henry,506612
SS Tiwary,35390
R Vinay Kumar,35731
HV Patel,390481
Avesh Khan,694211
IR Jaggi,279554
CJ Jordan,288992
E Lewis,431901
M Markande,1081442
DJ Bravo,51439
MA Wood,351588
C Munro,232359
KL Rahul,422108
R Ashwin,26421
Mujeeb Ur Rahman,974109
Q de Kock,379143
SN Khan,642525
K Khejroliya,1083033
RK Singh,723105
AD Russell,276298
DJM Short,308798
K Gowtham,424377
S Gopal,344580
B Laughlin,315623
TK Curran,550235
A Dananjaya,574178
Shubman Gill,1070173
Shivam Mavi,1079848
M Vijay,237095
H Klaasen,436757
RK Bhui,642531
JC Archer,669855
PP Shaw,1070168
LE Plunkett,19264
JP Duminy,44932
AD Hales,249866
MK Lomror,853265
IS Sodhi,559066
M Ashwin,528067
KM Asif,1083030
L Ngidi,542023
DR Shorey,590327
DJ Willey,308251
M Prasidh Krishna,917159
MM Ali,8917
SP Goswami,302579
P Chopra,500135
JPR Scantlebury-Searles,230554
Abhishek Sharma,1070183
S Lamichhane,960361
CJ Dala,545467
KK Ahmed,942645
SO Hetmyer,670025
S Dube,714451
Navdeep Saini,700167
JM Bairstow,297433
CA Ingram,45705
KMA Paul,677081
Rasikh Salam,1161489
N Pooran,604302
SM Curran,662973
GC Viljoen,375126
CV Varun,1108375
NS Naik,554700
GH Vihari,452044
P Ray Barman,1159712
MJ Santner,502714
JP Behrendorff,272477
SC Kuggeleijn,539548
AS Joseph,670031
S Midhun,1131619
HF Gurney,244639
SD Lad,422342
R Parag,1079434
JL Denly,12454
LS Livingstone,403902
Arshdeep Singh,1125976
AJ Turner,500268
DW Steyn,47492
Harpreet Brar,1168641
SE Rutherford,914541
Y Prithvi Raj,1121579
O Thomas,914567
AS Roy,1079839
S Sandeep Warrier,592735
P Simran Singh,1161024
J Suchith,527663
JL Pattinson,272465
A Nortje,481979
SS Cottrell,495551
Ravi Bishnoi,1175441
T Banton,877051
D Padikkal,1119026
I Udana,328026
PK Garg,1070180
JO Holder,391485
Abdul Samad,1175485
YBK Jaiswal,1151278
RD Gaikwad,1060380
KL Nagarkoti,1070188
TU Deshpande,822553
JR Philippe,1124282
Kartik Tyagi,1122918
JDS Neesham,355269
Shahbaz Ahmed,1159711
DR Sams,826901
N Jagadeesan,1048813
AT Carey,326434
JR Hazlewood,288284
CJ Green,787073
MR Marsh,272450
P Dubey,777515
Monu Kumar,694209
M Jansen,696401
RM Patidar,823703
KA Jamieson,625960
M Shahrukh Khan,719719
JA Richardson,774223
RP Meredith,961713
C Sakariya,1131754
Lalit Yadav,930189
Virat Singh,720465
Jalaj S Saxena,237199
LI Meriwala,573930
FA Allen,670013
KW Richardson,272262
Anuj Rawat,1123073
DJ Malan,236489
KS Bharat,529436
PWH de Silva,784379
VR Iyer,851403
Umran Malik,1246528
GD Phillips,823509
Akash Singh,1175458
GHS Garton,643433
AK Markram,600498
K Yadav,1206495
T Shamsi,379145
NT Ellis,826915
RV Patel,1201520
TL Seifert,625964
Anmolpreet Singh,851261
IC Porel,967603
AU Rashid,244497
TH David,892749
DP Conway,379140
Tilak Varma,1170265
R Powell,820351
Akash Deep,1176959
